1	4.569469	95.410759	-68.156494	3.631028
2	4.569469	95.410759	-66.179092	3.679273
3	4.569652	95.422188	-64.380211	3.704486
4	4.569308	95.400787	-65.032394	3.708347
5	4.567291	95.274696	-66.197205	3.708193
6	4.566101	95.200233	-67.406189	3.713344
7	4.565302	95.150307	-68.258156	3.721570
8	4.564526	95.101791	-68.856842	3.729287
9	4.563755	95.053650	-69.136566	3.735227
10	4.562723	94.989250	-69.252335	3.739205
11	4.561837	94.933990	-69.353889	3.742234
12	4.560935	94.877777	-69.438011	3.744698
13	4.560555	94.854088	-69.477676	3.745391
14	4.560502	94.850685	-69.466972	3.745534
15	4.560660	94.860565	-69.369698	3.744130
16	4.560947	94.878456	-69.480736	3.741201
17	4.561307	94.900940	-69.524353	3.739733
18	4.561705	94.925713	-69.516243	3.741250
19	4.562088	94.949692	-69.464401	3.744818
20	4.562655	94.985123	-69.304970	3.748819
21	4.563181	95.018021	-69.593254	3.751356
22	4.563659	95.047928	-69.947723	3.755148
23	4.564095	95.075241	-70.184006	3.753460
24	4.564451	95.097450	-70.549522	3.754998
25	4.564387	95.093475	-71.219742	3.752327
26	4.564329	95.089806	-72.195282	3.750355
27	4.564274	95.086411	-73.140228	3.748227
28	4.564224	95.083252	-74.017685	3.746252
29	4.564178	95.080315	-74.834625	3.744412
30	4.564134	95.077568	-75.690544	3.744634
31	4.564093	95.075005	-76.581680	3.746718
32	4.564054	95.072601	-77.425842	3.748373
33	4.564018	95.070343	-78.158325	3.751896
34	4.563984	95.068214	-78.914169	3.753634
35	4.563952	95.066208	-79.517860	3.753497
36	4.563922	95.064316	-80.400482	3.751504
37	4.563872	95.061165	-81.232132	3.748847
38	4.563683	95.049339	-81.956192	3.746099
39	4.563434	95.033829	-82.758598	3.742825
40	4.563086	95.012154	-83.528503	3.739569
41	4.562800	94.994354	-84.248871	3.737203
42	4.562386	94.968536	-84.943100	3.735509
43	4.561898	94.938194	-85.601227	3.734118
44	4.561370	94.905418	-86.226776	3.732606
45	4.561018	94.883507	-86.832932	3.731444
46	4.560784	94.868904	-87.405380	3.730482
47	4.560583	94.856308	-87.944244	3.729831
48	4.560371	94.843109	-88.478607	3.729315
49	4.560027	94.821724	-88.981995	3.727834
50	4.559631	94.797096	-89.473053	3.726319
51	4.559247	94.773239	-89.945999	3.725599
52	4.558880	94.750435	-90.411224	3.725165
53	4.558478	94.725418	-90.863960	3.726046
54	4.557871	94.687897	-91.218956	3.726612
55	4.556980	94.632912	-91.867386	3.730068
56	4.556121	94.579887	-92.616951	3.732169
57	4.555292	94.528725	-93.340218	3.734195
58	4.554491	94.479324	-94.038551	3.736152
59	4.553717	94.431602	-94.713203	3.738043
60	4.552969	94.385468	-95.365372	3.739870
61	4.552246	94.340843	-95.996155	3.741637
62	4.551546	94.297661	-96.606598	3.743348
63	4.550869	94.255852	-97.197655	3.745004
64	4.550212	94.215347	-97.770241	3.746608
65	4.549557	94.174950	-98.252022	3.750428
66	4.548906	94.134827	-98.816238	3.753046
67	4.548272	94.095718	-99.267586	3.756260
68	4.547657	94.057800	-99.748260	3.759878
69	4.546920	94.012489	-100.223640	3.764285
70	4.546285	93.973351	-100.700645	3.768568
71	4.545753	93.940529	-101.177742	3.772546
72	4.545236	93.908607	-101.625435	3.776328
73	4.544713	93.876381	-102.028687	3.780061
74	4.544191	93.844185	-102.435150	3.783799
75	4.543657	93.811325	-102.866310	3.787398
76	4.543102	93.777138	-103.286049	3.790931
77	4.542507	93.740555	-103.695641	3.795110
78	4.541926	93.704849	-104.095901	3.799132
79	4.541405	93.672806	-104.488266	3.802675
80	4.540907	93.642113	-104.874161	3.806134
81	4.540321	93.606125	-105.245758	3.809692
82	4.539744	93.570724	-105.563896	3.812732
83	4.539155	93.534561	-105.915001	3.815737
84	4.538599	93.500427	-106.205528	3.817876
85	4.538050	93.466690	-106.490173	3.819623
86	4.537446	93.429703	-106.789787	3.822047
87	4.536805	93.390465	-107.067886	3.824548
88	4.536178	93.352119	-107.300438	3.827261
89	4.535566	93.314629	-107.556923	3.829738
90	4.534966	93.277969	-107.807716	3.832160
91	4.534381	93.242126	-108.052994	3.834529
92	4.533808	93.207054	-108.292938	3.836846
93	4.533247	93.172737	-108.527725	3.839114
94	4.532698	93.139153	-108.757515	3.841333
95	4.532161	93.106270	-108.982460	3.843506
96	4.531635	93.074074	-109.202728	3.845633
97	4.531120	93.042549	-109.418449	3.847717
98	4.530615	93.011658	-109.629776	3.849758
99	4.530120	92.981400	-109.836823	3.851757
100	4.529636	92.951736	-110.022743	3.853055
101	4.529120	92.920219	-110.222824	3.855163
102	4.528587	92.887703	-110.413460	3.856885
103	4.528100	92.857903	-110.571648	3.858334
104	4.527645	92.830070	-110.741829	3.860074
105	4.527199	92.802765	-110.915047	3.862567
106	4.526756	92.775703	-111.101646	3.864627
107	4.526244	92.744431	-111.273247	3.867003
108	4.525728	92.712944	-111.458641	3.869035
109	4.525201	92.680824	-111.647629	3.870756
110	4.524664	92.648155	-111.830574	3.872679
111	4.524118	92.614891	-112.015831	3.874923
112	4.523601	92.583374	-112.199020	3.876789
113	4.523103	92.553070	-112.379929	3.878428
114	4.522583	92.521362	-112.556023	3.880447
115	4.522048	92.488853	-112.727554	3.882514
116	4.521555	92.458839	-112.898018	3.884234
117	4.521086	92.430222	-113.066574	3.885710
118	4.520667	92.404625	-113.219246	3.887250
119	4.520292	92.381737	-113.361115	3.888835
120	4.519937	92.360031	-113.499069	3.890342
121	4.519571	92.337646	-113.621773	3.891559
